,Unnamed: 0,event_id,primary_act_id,secondary_act_id,purch_party_lkup_id,event_name,primary_act_name,major_cat_name,minor_cat_name,la_event_type_cat,event_disp_name,ticket_text,tickets_purchased_qty,trans_face_val_amt,delivery_type_cd,event_date_time,event_dt,onsale_dt,sales_ord_create_dttm,sales_ord_tran_dt,print_dt,timezn_nm,venue_city,venue_state,venue_postal_cd_sgmt_1,print_flg,la_valid_tkt_event_flg,fin_mkt_nm,web_session_cookie_val,age_yr,income_amt,edu_val,edu_1st_indv_val,edu_2nd_indv_val,adults_in_hh_num,married_ind,child_present_ind,home_owner_ind,occpn_val,dist_to_ven
2970,2971,6fd7d9eeace93672a94c,a0ed82451f57a8914eba,b85143bf51323b72e53c,63033be70eada6b0f112,Jonas Brothers: Jones Beach Theater Premier Parking,Nikon At Jones Beach Theater Premier Parking,MISC,PARKING,PARKING,Jonas Brothers: Jones Beach Theater Premier Parking,"THIS TICKET IS VALID%FOR PREMIER PARKING ONLY%GOOD FOR THIS DATE ONLY%NIKON AT%JONES BEACH THEATER%FRI AUG 8, 2008 7:00PM",1,15.0,UPS,2008-08-08 23:00:00,2008-08-08,2008-03-29,2008-03-28 00:00:00,2008-03-28,2008-03-29,EST,WANTAGH,NEW YORK,11793,T ,N ,New York,63033be70eada6b0f112,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,6.0
2986,2987,103b4c2d216c47b51b15,1a3e9aecd0617706a794,0b30857e52b92f7fd897,d17170eeb22a6368362e,Gorge Camping: Blazed & confused july 17-19,Gorge Camping,MISC,CAMPING,INVALID,Gorge Camping: Blazed & confused july 17-19,"%OVERNIGHT C A M P I N G%BLAZED & CONFUSED%GORGE CAMPGROUND%* GOOD THESE DATES ONLY *%JULY 17-18, 2009",1,45.0,TicketFast,2009-07-19 01:30:00,2009-07-18,2009-05-02,2009-06-01 00:00:00,2009-05-31,2009-07-13,PST,QUINCY,WASHINGTON,98848,T ,N ,Seattle,d17170eeb22a6368362e,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,30.0
2990,2991,115c1de2c74c279059bc,43f0436b905bfa7c2eec,b85143bf51323b72e53c,4e3065efa28f89e79368,Premier Parking: Journey,XFINITY Center Mansfield Premier Parking,MISC,PARKING,PARKING,Premier Parking: Journey,"VALID FOR PARKING ONLY%PREMIER PARKING%COMCAST CTR, MANSFIELD%PARKING FOR JOURNEY%LOT OPENS 3 HOURS PRIOR%TUE AUG 19 2008  7:00PM",1,40.0,Mail,2008-08-19 23:00:00,2008-08-19,2008-04-12,2008-04-12 00:00:00,2008-04-12,2008-04-17,EST,MANSFIELD,MASSACHUSETTS,02048,T ,N ,Boston,4e3065efa28f89e79368,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,161.0
2998,2999,b5141efc7fe70f889461,43f0436b905bfa7c2eec,b85143bf51323b72e53c,05e6c6f065fe87b8e501,Premier Parking : jimmy buffett & the coral reefer band,XFINITY Center Mansfield Premier Parking,MISC,PARKING,PARKING,Premier Parking : jimmy buffett & the coral reefer band,"VALID FOR PARKING ONLY%PREMIER PARKING%TWEETER CTR, MANSFIELD%PARKING FOR JIMMY BUFFETT%LOT OPENS 3 HOURS PRIOR%THU AUG 10, 2006 8:00PM",1,30.0,Mail,2006-08-11 00:00:00,2006-08-10,2006-03-11,2006-03-11 00:00:00,2006-03-11,2006-03-16,EST,MANSFIELD,MASSACHUSETTS,02048,T ,N ,Boston,05e6c6f065fe87b8e501,64.0,87500.0,High School,High School,High School,4.0,1.0,0.0,1.0,Missing,158.1888544891641
3013,3014,d3b67500651c731d0c78,3f510718b680022e6c39,b85143bf51323b72e53c,055c1d2c9a7d59f26aa9,Verizon Wireless Premier Parking: Journey,Verizon Wireless Amph. Irvine Premier Parking,MISC,PARKING,PARKING,Verizon Wireless Premier Parking: Journey,THIS TICKET IS VALID%FOR PARKING ONLY%GOOD FOR THIS DATE ONLY%PREMIER PARKING PASS%VERIZON AMPHITHEATER%WED JUL 16 2008  7:00PM,1,20.0,TicketFast,2008-07-17 02:00:00,2008-07-16,2008-04-19,2008-06-06 00:00:00,2008-06-06,2008-06-06,PST,IRVINE,CALIFORNIA,92618,T ,N ,Los Angeles,055c1d2c9a7d59f26aa9,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,31.0
3034,3035,48dda4a948f6ebeb3a34,43f0436b905bfa7c2eec,b85143bf51323b72e53c,60487606dfeb432f8b36,Premier Parking : kelly clarkson,XFINITY Center Mansfield Premier Parking,MISC,PARKING,PARKING,Premier Parking : kelly clarkson,"VALID FOR PARKING ONLY%PREMIER PARKING%TWEETER CTR, MANSFIELD%PARKING FOR KELLY CLARKSON%LOT OPENS 3 HOURS PRIOR%SUN JUL 16, 2006 7:30PM",1,35.0,TicketFast,2006-07-16 23:30:00,2006-07-16,2006-04-22,2006-06-18 00:00:00,2006-06-18,2006-06-18,EST,MANSFIELD,MASSACHUSETTS,02048,T ,N ,Boston,60487606dfeb432f8b36,50.0,45000.0,High School,High School,High School,4.0,1.0,0.0,1.0,Missing,158.1888544891641
3045,3046,d3f69aa7f8e730aa9918,4b677c3f5bec71eec8d1,b85143bf51323b72e53c,c67c09d004e5f673be5d,Parking: Tom Petty,Parking Event,MISC,PARKING,PARKING,Parking: Tom Petty,*** PARKING RECIEPT ***%TOM PETTY PARKING%THIS IS NOT A PASS%BLOSSOM MUSIC CENTER%*** RECIEPT ONLY ***%SUN JUN 22 2008 7:30PM,1,15.0,Mail,2008-06-22 23:30:00,2008-06-22,2008-02-03,2008-02-15 00:00:00,2008-02-15,2008-03-24,CST,CUYAHOGA FALLS,OHIO,44223,T ,N ,Cleveland,c67c09d004e5f673be5d,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,4.0
3064,3065,1c6863bc687c5012b80f,5a29f349bfe4d595f521,b85143bf51323b72e53c,ea7e7a0baad187a02203,Premier Parking : family values tour 2007,Klipsch Music Ctr. Ind. Premier Parking,MISC,PARKING,PARKING,Premier Parking : family values tour 2007,THIS TICKET IS VALID%FOR PARKING ONLY%GOOD THIS DATE ONLY%FAMILY VALUES TOUR 2007%VERIZON WIRELESS MUSIC CTR%FRI AUG 10 2007 3:00PM,1,20.0,Mail,2007-08-10 19:00:00,2007-08-10,2007-06-02,2007-07-09 00:00:00,2007-07-09,2007-07-11,CST,NOBLESVILLE,INDIANA,46060,T ,N ,Indiana-Ohio,ea7e7a0baad187a02203,56.0,87500.0,Graduate School,College,College,4.0,1.0,0.0,1.0,Homemaker,158.1888544891641
3075,3076,bb0a36a5fce300c0698f,a0ed82451f57a8914eba,b85143bf51323b72e53c,5fccffd57c026966afc2,James Taylor: Nikon Jones Beach Theater Premier Parking,Nikon At Jones Beach Theater Premier Parking,MISC,PARKING,PARKING,James Taylor: Nikon Jones Beach Theater Premier Parking,"THIS TICKET IS VALID%FOR PREMIER PARKING ONLY%GOOD FOR THIS DATE ONLY%NIKON AT%JONES BEACH THEATER%SAT JUN 21, 2008 8:00PM",1,15.0,Mail,2008-06-22 00:00:00,2008-06-21,2008-03-03,2008-03-02 00:00:00,2008-03-01,2008-03-06,EST,WANTAGH,NEW YORK,11793,T ,N ,New York,5fccffd57c026966afc2,44.36904761904762,86396.1038961039,Missing,Missing,Missing,2.5795454545454546,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,18.0
3078,3079,8d94e4a50dabb645492f,a0ed82451f57a8914eba,b85143bf51323b72e53c,3e460a13bd351b402341,Santana: Jones Beach Theater Premier Parking,Nikon At Jones Beach Theater Premier Parking,MISC,PARKING,PARKING,Santana: Jones Beach Theater Premier Parking,"THIS TICKET IS VALID%FOR PREMIER PARKING ONLY%GOOD FOR THIS DATE ONLY%NIKON AT%JONES BEACH THEATER%SAT SEP 16, 2006 7:30PM",1,15.0,Mail,2006-09-16 23:30:00,2006-09-16,2006-05-06,2006-06-10 00:00:00,2006-06-10,2006-06-15,EST,WANTAGH,NEW YORK,11793,T ,N ,New York,3e460a13bd351b402341,44.36904761904762,86396.1038961039,Missing,Missing,Missing,1.0,0.6687898089171974,0.5615384615384615,0.9420289855072463,Missing,158.1888544891641
